player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,economy_rate,average
JPR Lamsam,Bowler,16,53.333333333333336,30,0,27,12,218,0,218,126,92,0,India,2.25,
BJ Diamanti,Bowler,26,113.04347826086956,23,0,25,12,494,0,494,346,148,0,Australia,2.0833333333333335,
K Christie,Bowler,0,0.0,3,0,18,9,36,0,36,7,29,0,Papua New Guinea,2.0,
LC Boylan,Bowler,31,65.95744680851064,47,2,37,19,193,0,193,124,69,0,South Africa,1.9473684210526316,18.5
J Blades,Bowler,0,0.0,0,0,73,39,190,0,190,70,120,0,Bangladesh,1.8717948717948718,
Sanjida Akter Meghla,Bowler,0,0.0,0,0,33,19,19,0,19,8,11,0,West Indies,1.736842105263158,
IA Nicolson,Bowler,0,0.0,3,1,74,44,201,0,201,126,75,0,South Africa,1.6818181818181819,74.0
MA Agarwal,Bowler,86,94.5054945054945,91,0,10,6,438,0,438,309,129,0,Australia,1.6666666666666667,
MS Kashyap,Bowler,8,53.333333333333336,15,0,30,18,348,0,348,251,97,0,Australia,1.6666666666666667,
EP Thompson,Bowler,0,0.0,0,0,43,26,88,0,88,49,39,0,India,1.6538461538461537,
AW Mathieson,Bowler,0,0.0,0,1,40,25,386,0,386,227,159,0,England,1.6,40.0
Aman Ali,Bowler,0,0.0,2,0,22,14,362,0,362,169,193,0,Sri Lanka,1.5714285714285714,
TF van Woerkom,Bowler,0,0.0,0,1,75,48,273,0,273,66,207,0,Zimbabwe,1.5625,75.0
BDH Stevens,Bowler,1,20.0,5,0,28,18,1,0,1,1,0,0,United Arab Emirates,1.5555555555555556,
S Snater,Bowler,21,161.53846153846155,13,1,125,81,391,0,391,229,162,0,England,1.5432098765432098,125.0
Afzaal Haider,Bowler,0,0.0,10,2,123,81,236,0,236,121,115,0,Pakistan,1.5185185185185186,61.5
Zain Abbas,Bowler,26,47.27272727272727,55,1,56,38,236,0,236,121,115,0,Pakistan,1.4736842105263157,56.0
Usman Rafiq,Bowler,28,66.66666666666666,42,0,47,32,123,0,123,31,92,0,Zimbabwe,1.46875,
WCA Ganegama,Bowler,7,87.5,8,0,61,44,437,0,437,308,129,0,Australia,1.3863636363636365,
Ravi Bishnoi,Bowler,4,200.0,2,1,73,53,379,0,379,230,149,0,South Africa,1.3773584905660377,73.0
KMC Bandara,Bowler,1,33.33333333333333,3,1,84,61,99,0,99,56,43,0,England,1.3770491803278688,84.0
Asif Iqbal (1),Bowler,8,100.0,8,0,33,24,15,0,15,5,10,0,Hong Kong,1.375,
BM Anusha,Bowler,2,33.33333333333333,6,0,11,8,195,0,195,72,123,0,Bangladesh,1.375,
S Hector,Bowler,0,0.0,0,0,19,14,129,0,129,69,60,0,India,1.3571428571428572,
AH Thomson,Bowler,16,43.24324324324324,37,0,47,35,8,0,8,7,1,0,Thailand,1.3428571428571427,
GH Bodi,Bowler,83,61.029411764705884,136,0,8,6,220,0,220,54,166,0,Zimbabwe,1.3333333333333333,
C Connolly,Bowler,7,36.84210526315789,19,0,32,24,337,0,337,199,138,0,England,1.3333333333333333,
S Ishaque,Bowler,0,0.0,0,0,48,36,331,0,331,240,91,0,Australia,1.3333333333333333,
R Pasipanodya,Bowler,9,18.0,50,0,29,22,57,0,57,27,30,0,United States of America,1.3181818181818181,
VRV Singh,Bowler,8,61.53846153846154,13,0,106,81,237,0,237,141,96,0,England,1.308641975308642,
Fawad Ahmed,Bowler,4,200.0,2,2,108,84,438,0,438,250,188,0,England,1.2857142857142858,54.0
Y Punja,Bowler,1,14.285714285714285,7,0,50,39,15,0,15,5,10,0,Hong Kong,1.2820512820512822,
E Katchay,Bowler,0,0.0,0,1,23,18,88,0,88,47,41,0,Scotland,1.2777777777777777,23.0
KJ Harding,Bowler,1,100.0,1,1,88,69,174,0,174,64,110,0,Bangladesh,1.2753623188405796,88.0
Ihsanullah,Bowler,0,0.0,0,0,61,49,121,0,121,66,55,0,New Zealand,1.2448979591836735,
Saad Nasim,Bowler,99,79.2,125,0,46,37,335,0,335,132,203,0,Bangladesh,1.2432432432432432,
CK Tshuma,Bowler,0,0.0,1,1,83,67,308,0,308,114,194,0,Bangladesh,1.2388059701492538,83.0
K Schultz,Bowler,0,0.0,19,2,52,42,226,0,226,133,93,0,England,1.2380952380952381,26.0
L Shetty,Bowler,8,28.57142857142857,28,0,47,38,8,0,8,2,6,0,Zimbabwe,1.236842105263158,
Matiullah Khan,Bowler,0,0.0,0,1,38,31,15,0,15,8,7,0,United States of America,1.2258064516129032,38.0
N Ncube,Bowler,0,0.0,0,3,71,58,94,0,94,51,43,0,New Zealand,1.2241379310344827,23.666666666666668
RR Joshi,Bowler,3,75.0,4,2,77,63,13,0,13,7,6,0,United States of America,1.2222222222222223,38.5
KT Maphaka,Bowler,1,33.33333333333333,3,6,126,104,402,0,402,199,203,0,Pakistan,1.2115384615384615,21.0
BP Loots,Bowler,15,65.21739130434783,23,2,227,188,374,0,374,147,227,0,West Indies,1.2074468085106382,113.5
BA Westdijk,Bowler,0,0.0,3,1,176,146,374,0,374,147,227,0,West Indies,1.2054794520547945,176.0
Mahbubul Alam,Bowler,81,112.5,72,8,284,237,222,0,222,54,168,0,Zimbabwe,1.1983122362869199,35.5
LD Madushanka,Bowler,14,53.84615384615385,26,4,177,148,242,0,242,149,93,0,South Africa,1.195945945945946,44.25
NAM McLean,Bowler,5,71.42857142857143,7,0,44,37,122,0,122,67,55,0,New Zealand,1.1891891891891893,
RR Emrit,Bowler,13,37.142857142857146,35,0,108,91,557,0,557,345,212,0,India,1.1868131868131868,
BG Rogers,Bowler,287,70.0,410,5,202,171,368,0,368,223,145,1,South Africa,1.1812865497076024,40.4
T Makusha,Bowler,0,0.0,0,0,33,28,3,0,3,1,2,0,United States of America,1.1785714285714286,
HP Rinke,Bowler,28,43.75,64,2,114,97,324,0,324,125,199,0,West Indies,1.175257731958763,57.0
C Wickramasinghe,Bowler,58,54.71698113207547,106,1,68,58,401,0,401,208,193,0,New Zealand,1.1724137931034482,68.0
C Bosch,Bowler,40,90.9090909090909,44,1,69,59,68,0,68,38,30,0,Pakistan,1.1694915254237288,69.0
Mohammad Talha,Bowler,0,0.0,1,4,147,126,214,0,214,80,134,0,Bangladesh,1.1666666666666667,36.75
S Kaul,Bowler,1,50.0,2,1,126,108,335,0,335,198,137,0,England,1.1666666666666667,126.0
PD Blignaut,Bowler,0,0.0,0,1,28,24,16,0,16,9,7,0,United States of America,1.1666666666666667,28.0
TE Tucker,Bowler,0,0.0,0,0,21,18,7,0,7,1,6,0,Canada,1.1666666666666667,
LOB Cann,Bowler,214,122.98850574712642,174,1,92,79,573,0,573,356,217,0,India,1.1645569620253164,92.0
Suraiya Azmin,Bowler,0,0.0,2,2,57,49,326,0,326,155,171,0,Sri Lanka,1.163265306122449,28.5
CT Mumba,Bowler,32,57.14285714285714,56,8,329,283,308,0,308,114,194,0,Bangladesh,1.1625441696113075,41.125
Dolar Mahmud,Bowler,61,138.63636363636365,44,8,259,223,261,0,261,62,199,1,Zimbabwe,1.1614349775784754,32.375
DL Hemp,Bowler,268,67.33668341708542,398,0,73,63,573,0,573,356,217,0,India,1.1587301587301588,
DCC Borden,Bowler,23,27.380952380952383,84,3,95,82,573,0,573,356,217,0,India,1.1585365853658536,31.666666666666668
T Sangha,Bowler,0,0.0,3,2,125,108,419,0,419,259,160,0,South Africa,1.1574074074074074,62.5
S Joseph,Bowler,0,0.0,0,1,74,64,427,0,427,245,182,0,England,1.15625,74.0
U Bhagwan,Bowler,26,92.85714285714286,28,3,173,150,96,0,96,33,63,0,United Arab Emirates,1.1533333333333333,57.666666666666664
Gurkeerat Singh,Bowler,13,100.0,13,1,69,60,430,0,430,304,126,0,Australia,1.15,69.0
C Gunasekara,Bowler,0,0.0,0,0,8,7,256,0,256,60,196,0,Zimbabwe,1.1428571428571428,
SW Masakadza,Bowler,109,97.32142857142857,112,24,747,654,366,0,366,221,145,0,South Africa,1.1422018348623852,31.125
Khurram Khan,Bowler,237,74.52830188679245,318,3,187,164,260,0,260,92,168,0,Bangladesh,1.1402439024390243,62.333333333333336
CJ Dala,Bowler,8,133.33333333333331,6,1,123,108,371,0,371,174,197,0,Sri Lanka,1.1388888888888888,123.0
ML Lewis,Bowler,4,100.0,4,5,264,232,404,0,404,250,154,0,South Africa,1.1379310344827587,52.8
JL Carter,Bowler,560,71.97943444730078,778,4,162,143,155,0,155,55,100,0,Ireland,1.132867132867133,40.5
Rameen Shamim,Bowler,25,69.44444444444444,36,4,129,114,498,0,498,286,212,0,England,1.131578947368421,32.25
Waheeda Akhtar,Bowler,0,0.0,0,2,35,31,342,0,342,204,138,0,South Africa,1.1290322580645162,17.5
Badal Singh,Bowler,5,41.66666666666667,12,0,70,62,51,0,51,24,27,0,United States of America,1.1290322580645162,
M Pathirana,Bowler,10,30.303030303030305,33,15,499,442,257,0,257,60,197,1,Zimbabwe,1.1289592760180995,33.266666666666666
L Maritz,Bowler,31,50.0,62,4,158,140,315,0,315,191,124,0,South Africa,1.1285714285714286,39.5
G Hoey,Bowler,24,80.0,30,1,115,102,120,0,120,81,39,0,South Africa,1.1274509803921569,115.0
JH Stander,Bowler,34,80.95238095238095,42,2,82,73,42,0,42,12,30,0,Canada,1.1232876712328768,41.0
A Mithun,Bowler,51,89.47368421052632,57,3,210,188,252,0,252,130,122,0,New Zealand,1.1170212765957446,70.0
GLS Scrimshaw,Bowler,0,0.0,0,3,67,60,93,0,93,29,64,0,Ireland,1.1166666666666667,22.333333333333332
Navdeep Saini,Bowler,107,75.88652482269504,141,7,485,435,429,0,429,165,264,0,West Indies,1.1149425287356323,69.28571428571429
Zaman Khan,Bowler,0,0.0,0,2,40,36,58,0,58,30,28,0,Sri Lanka,1.1111111111111112,20.0
NT Pascal,Bowler,0,0.0,1,0,30,27,324,0,324,125,199,0,Bangladesh,1.1111111111111112,
MVT Fernando,Bowler,30,48.38709677419355,62,5,342,308,524,0,524,325,199,0,India,1.1103896103896105,68.4
Abul Hasan,Bowler,11,68.75,16,0,245,221,455,0,455,220,235,0,Pakistan,1.1085972850678734,
A Hlubi,Bowler,10,52.63157894736842,19,2,123,111,442,0,442,310,132,0,Australia,1.1081081081081081,61.5
JM Mennie,Bowler,1,20.0,5,3,135,122,433,0,433,268,165,0,South Africa,1.1065573770491803,45.0
LN Roche,Bowler,4,40.0,10,2,157,142,446,0,446,218,228,0,Pakistan,1.1056338028169015,78.5
L Little,Bowler,12,60.0,20,1,181,164,315,0,315,191,124,0,South Africa,1.103658536585366,181.0
Yasir Mohammad,Bowler,3,50.0,6,5,239,217,65,0,65,33,32,0,Nepal,1.1013824884792627,47.8
Mushtaq Ahmed,Bowler,0,0.0,0,0,66,60,51,0,51,30,21,0,South Africa,1.1,
G Coetzee,Bowler,57,63.33333333333333,90,29,693,632,82,0,82,25,57,0,Netherlands,1.0965189873417722,23.896551724137932
KV Sharma,Bowler,0,0.0,0,0,125,114,306,0,306,144,162,0,Sri Lanka,1.0964912280701755,
Maham Tariq,Bowler,3,7.894736842105263,38,4,206,188,364,0,364,220,144,0,South Africa,1.0957446808510638,51.5
PJ te Beest,Bowler,3,5.660377358490567,53,0,23,21,389,0,389,238,151,0,South Africa,1.0952380952380953,
ML Cummins,Bowler,5,55.55555555555556,9,8,448,410,512,0,512,292,220,0,England,1.0926829268292684,56.0
T Natarajan,Bowler,0,0.0,0,4,144,132,516,0,516,294,222,0,England,1.0909090909090908,36.0
EJ Tice,Bowler,2,16.666666666666664,12,0,48,44,456,0,456,221,235,0,Pakistan,1.0909090909090908,
RP Meredith,Bowler,0,0.0,0,0,36,33,279,0,279,108,171,0,West Indies,1.0909090909090908,
Krishna Chandran,Bowler,59,36.19631901840491,163,1,250,230,94,0,94,51,43,0,Scotland,1.0869565217391304,250.0
A Tector,Bowler,39,61.904761904761905,63,2,170,157,490,0,490,282,208,0,England,1.0828025477707006,85.0
B White,Bowler,0,0.0,0,1,119,110,19,0,19,12,7,0,Scotland,1.0818181818181818,119.0
SH Lewis,Bowler,0,0.0,0,4,67,62,16,0,16,5,11,0,Netherlands,1.0806451612903225,16.75
WS Jayantha,Bowler,206,63.975155279503106,322,1,27,25,423,0,423,262,161,0,South Africa,1.08,27.0
SJ Cameron,Bowler,9,69.23076923076923,13,3,123,114,91,0,91,29,62,0,Ireland,1.0789473684210527,41.0
HW Rambaldo,Bowler,19,19.587628865979383,97,0,28,26,389,0,389,238,151,0,South Africa,1.0769230769230769,
CBRLS Kumara,Bowler,58,42.33576642335766,137,39,1288,1197,470,0,470,290,180,1,South Africa,1.0760233918128654,33.02564102564103
LA Dawson,Bowler,63,82.89473684210526,76,5,285,265,543,0,543,381,162,0,Australia,1.0754716981132075,57.0
IE O'Brien,Bowler,3,27.27272727272727,11,16,496,462,545,0,545,381,164,0,Australia,1.0735930735930737,31.0
E Malinga,Bowler,9,47.368421052631575,19,4,132,123,401,0,401,208,193,0,New Zealand,1.0731707317073171,33.0
Abu Jayed,Bowler,0,0.0,0,5,121,113,49,0,49,16,33,1,Ireland,1.0707964601769913,24.2
Saqib Zulfiqar,Bowler,158,67.81115879828327,233,8,304,284,272,0,272,66,206,0,Zimbabwe,1.0704225352112675,38.0
RP Burl,Bowler,761,81.91603875134554,929,14,607,568,83,0,83,25,58,2,Netherlands,1.068661971830986,43.357142857142854
NJ Browne,Bowler,143,73.71134020618557,194,1,203,190,495,0,495,346,149,0,Australia,1.068421052631579,203.0
D Olivier,Bowler,0,0.0,0,3,125,117,315,0,315,159,156,0,Pakistan,1.0683760683760684,41.666666666666664
DJ Worrall,Bowler,6,150.0,4,2,173,162,81,0,81,25,56,0,Ireland,1.0679012345679013,86.5
PHKD Mendis,Bowler,344,73.03609341825901,471,2,221,207,256,0,256,60,196,0,Zimbabwe,1.067632850241546,110.5
BM Tickner,Bowler,16,57.14285714285714,28,18,691,649,148,0,148,53,95,0,Ireland,1.0647149460708782,38.388888888888886
Umair Ali,Bowler,10,90.9090909090909,11,0,66,62,15,0,15,5,10,0,Hong Kong,1.064516129032258,
CB Lambert,Bowler,39,45.348837209302324,86,0,66,62,313,0,313,163,150,0,New Zealand,1.064516129032258,
PC Connell,Bowler,6,25.0,24,7,199,187,394,0,394,282,112,0,Australia,1.0641711229946524,28.428571428571427
AJ Burger,Bowler,199,97.54901960784314,204,3,104,98,87,0,87,26,61,1,Netherlands,1.0612244897959184,34.666666666666664
Joseph Angara,Bowler,0,0.0,3,1,52,49,175,0,175,87,88,0,Pakistan,1.0612244897959184,52.0
BL Kotze,Bowler,27,51.92307692307693,52,4,282,266,426,0,426,209,217,0,Pakistan,1.0601503759398496,70.5
H Dhami,Bowler,0,0.0,0,3,54,51,33,0,33,9,24,0,Canada,1.0588235294117647,18.0
DR Flynn,Bowler,167,67.61133603238866,247,0,19,18,416,0,416,162,254,0,West Indies,1.0555555555555556,
PJK Mooney,Bowler,11,137.5,8,0,57,54,474,0,474,272,202,0,England,1.0555555555555556,
VR Aaron,Bowler,8,53.333333333333336,15,11,427,405,435,0,435,226,209,0,New Zealand,1.054320987654321,38.81818181818182
LS Livingstone,Bowler,834,108.87728459530027,766,20,747,709,572,0,572,355,217,2,India,1.0535966149506346,37.35
G Bajwa,Bowler,0,0.0,0,0,40,38,49,0,49,27,22,0,Oman,1.0526315789473684,
Arshad Ali,Bowler,47,52.22222222222223,90,1,101,96,260,0,260,92,168,0,Bangladesh,1.0520833333333333,101.0
JW Dernbach,Bowler,19,47.5,40,31,1346,1282,461,0,461,215,246,0,Sri Lanka,1.0499219968798752,43.41935483870968
KP Walmsley,Bowler,0,0.0,0,1,64,61,337,0,337,167,170,0,Pakistan,1.0491803278688525,64.0
K Kavindi,Bowler,17,45.94594594594595,37,1,107,102,421,0,421,221,200,0,New Zealand,1.0490196078431373,107.0
M Mani,Bowler,54,90.0,60,4,129,123,359,0,359,260,99,0,Australia,1.048780487804878,32.25
Y Cariah,Bowler,93,55.688622754491014,167,16,627,599,99,0,99,34,65,0,United Arab Emirates,1.0467445742904842,39.1875
MJ Mindley,Bowler,0,0.0,0,1,45,43,167,0,167,60,107,0,Bangladesh,1.0465116279069768,45.0
JJ van der Wath,Bowler,89,123.61111111111111,72,19,566,541,489,0,489,341,148,0,Australia,1.0462107208872458,29.789473684210527
Urooj Mumtaz,Bowler,35,35.35353535353536,99,7,70,67,384,0,384,234,150,0,South Africa,1.044776119402985,10.0
A Phillip,Bowler,22,88.0,25,4,210,201,79,0,79,23,56,0,Netherlands,1.044776119402985,52.5
D Paterson,Bowler,0,0.0,0,4,222,213,315,0,315,159,156,0,Pakistan,1.0422535211267605,55.5
R Dhawan,Bowler,12,92.3076923076923,13,1,161,155,430,0,430,304,126,0,Australia,1.038709677419355,161.0
KAR Hodge,Bowler,37,77.08333333333334,48,2,113,109,99,0,99,34,65,0,United Arab Emirates,1.036697247706422,56.5
CP Tremain,Bowler,23,58.97435897435898,39,7,257,249,433,0,433,268,165,0,South Africa,1.0321285140562249,36.714285714285715
BG Lister,Bowler,10,71.42857142857143,14,4,166,161,264,0,264,135,129,0,Pakistan,1.031055900621118,41.5
Muhammad Musa,Bowler,9,300.0,3,2,102,99,198,0,198,51,147,0,Zimbabwe,1.0303030303030303,51.0
AO Suji,Bowler,42,45.16129032258064,93,5,249,242,346,0,346,134,212,0,Bangladesh,1.0289256198347108,49.8
SHA Rance,Bowler,0,0.0,0,1,110,107,151,0,151,53,98,0,Ireland,1.02803738317757,110.0
AGR Loudon,Bowler,0,0.0,0,0,38,37,333,0,333,159,174,0,Sri Lanka,1.027027027027027,
Adeel Raja,Bowler,13,17.105263157894736,76,6,288,281,53,0,53,25,28,0,Namibia,1.0249110320284698,48.0
Rishad Hossain,Bowler,54,168.75,32,5,294,287,245,0,245,127,118,1,New Zealand,1.024390243902439,58.8
CAK Rajitha,Bowler,104,58.42696629213483,178,33,1227,1198,86,0,86,25,61,0,Netherlands,1.0242070116861435,37.18181818181818
JT Ball,Bowler,38,76.0,50,24,996,975,159,0,159,56,103,2,Ireland,1.0215384615384615,41.5
OP Stone,Bowler,24,68.57142857142857,35,9,411,403,543,0,543,381,162,0,Australia,1.0198511166253101,45.666666666666664
MJ Hoggard,Bowler,5,45.45454545454545,11,5,355,349,466,0,466,286,180,0,South Africa,1.0171919770773639,71.0
ST Gabriel,Bowler,22,37.93103448275862,58,30,1119,1101,462,0,462,223,239,0,Pakistan,1.0163487738419619,37.3
Anwar Ali,Bowler,300,88.49557522123894,339,20,930,917,276,0,276,66,210,1,Zimbabwe,1.014176663031625,46.5
KMA Paul,Bowler,304,96.20253164556962,316,32,1166,1151,99,0,99,34,65,0,United Arab Emirates,1.0130321459600347,36.4375
PADLR Sandakan,Bowler,64,43.53741496598639,147,29,1556,1538,437,0,437,227,210,1,New Zealand,1.011703511053316,53.6551724137931
M Jansen,Bowler,461,104.29864253393666,442,41,1347,1332,82,0,82,25,57,1,Netherlands,1.0112612612612613,32.853658536585364
SN Thakur,Bowler,329,102.49221183800623,321,66,2010,1988,429,0,429,165,264,1,West Indies,1.011066398390342,30.454545454545453
AS Hansra,Bowler,295,54.832713754646846,538,2,285,282,399,0,399,207,192,0,New Zealand,1.0106382978723405,142.5
N Pradeep,Bowler,35,43.75,80,69,2320,2302,515,0,515,294,221,1,England,1.0078192875760208,33.6231884057971
PW Gunaratne,Bowler,15,100.0,15,7,288,286,507,0,507,356,151,0,Australia,1.006993006993007,41.142857142857146
J Little,Bowler,80,91.95402298850574,87,59,1771,1759,409,0,409,158,251,3,West Indies,1.006822057987493,30.016949152542374
BM Wheeler,Bowler,58,123.40425531914893,47,11,321,319,274,0,274,66,208,0,Zimbabwe,1.006269592476489,29.181818181818183
MJ Swepson,Bowler,2,100.0,2,3,161,160,490,0,490,227,263,0,Sri Lanka,1.00625,53.666666666666664
SM Boland,Bowler,9,40.909090909090914,22,17,735,731,498,0,498,231,267,0,Sri Lanka,1.0054719562243501,43.23529411764706
JA Duffy,Bowler,9,52.94117647058824,17,19,473,471,460,0,460,215,245,0,Sri Lanka,1.0042462845010616,24.894736842105264
SM Curran,Bowler,587,92.15070643642072,637,38,1346,1341,543,0,543,381,162,4,Australia,1.0037285607755406,35.421052631578945
Shahadat Hossain,Bowler,60,50.42016806722689,119,28,1598,1593,506,0,506,236,270,0,Sri Lanka,1.0031387319522913,57.07142857142857
BA Carse,Bowler,192,79.01234567901234,243,24,834,832,510,0,510,356,154,0,Australia,1.0024038461538463,34.75
Aakash Chand,Bowler,0,0.0,0,2,82,82,33,0,33,9,24,0,Canada,1.0,41.0
K Pierre,Bowler,39,82.97872340425532,47,1,159,159,576,0,576,357,219,0,India,1.0,159.0
ME Sanuth,Bowler,46,112.19512195121952,41,1,61,61,86,0,86,29,57,0,United Arab Emirates,1.0,61.0
MG Kariata,Bowler,0,0.0,0,1,31,31,39,0,39,21,18,0,Oman,1.0,31.0
PS Masvaure,Bowler,40,63.49206349206349,63,0,19,19,446,0,446,218,228,0,Pakistan,1.0,
Rizwan Ahmed,Bowler,0,0.0,0,0,26,26,158,0,158,38,120,0,Zimbabwe,1.0,
M Shehani,Bowler,11,57.89473684210527,19,0,30,30,20,0,20,14,6,0,India,1.0,
RJ van Vuuren,Bowler,26,68.42105263157895,38,8,306,307,87,0,87,26,61,0,Netherlands,0.996742671009772,38.25
BA Stokes,Bowler,3469,93.73142393947582,3701,76,3206,3217,572,0,572,355,217,9,India,0.9965806652160398,42.18421052631579
N Madziva,Bowler,59,47.96747967479675,123,13,417,420,439,0,439,228,211,0,New Zealand,0.9928571428571429,32.07692307692308
R Ravindra,Bowler,913,107.2855464159812,851,17,807,813,327,0,327,127,200,2,Bangladesh,0.992619926199262,47.470588235294116
R Vinay Kumar,Bowler,86,57.333333333333336,150,46,1448,1459,544,0,544,381,163,0,Australia,0.9924605894448252,31.47826086956522
Amjad Javed,Bowler,238,89.13857677902621,267,7,522,526,94,0,94,51,43,0,Scotland,0.9923954372623575,74.57142857142857
Mohammad Saifuddin,Bowler,360,82.00455580865604,439,43,1267,1277,454,0,454,278,176,1,South Africa,0.9921691464369616,29.46511627906977
D Madushanka,Bowler,36,47.368421052631575,76,43,955,963,86,0,86,25,61,1,Netherlands,0.9916926272066459,22.209302325581394
CJ Anderson,Bowler,1102,105.55555555555556,1044,59,1494,1507,342,0,342,134,208,5,Bangladesh,0.9913735899137359,25.322033898305083
S Dube,Bowler,43,87.75510204081633,49,1,109,110,423,0,423,199,224,0,Sri Lanka,0.990909090909091,109.0
Kamran Shazad,Bowler,0,0.0,3,4,104,105,169,0,169,111,58,0,South Africa,0.9904761904761905,26.0
NGRP Jayasuriya,Bowler,11,78.57142857142857,14,0,95,96,470,0,470,290,180,0,South Africa,0.9895833333333334,
Ansh Patel,Bowler,0,0.0,0,3,87,88,36,0,36,17,19,0,Nepal,0.9886363636363636,29.0
Junaid Zia,Bowler,0,0.0,0,0,83,84,269,0,269,96,173,0,Bangladesh,0.9880952380952381,
MJ Potts,Bowler,45,72.58064516129032,62,11,309,313,510,0,510,356,154,0,Australia,0.987220447284345,28.09090909090909
