match_id,player,team,runs,balls_faced,fours,sixes,wickets,overs_bowled,balls_bowled,runs_conceded,catches,run_outs,maiden,stumps,match_outcome,opposition_team,strike_rate,economy,fantasy_points,venue
792295,RG Sharma,India,264,176,33,9,0,0,0,0,0,0,0,0,win,Sri Lanka,150.0,0.0,540,Eden Gardens
656427,CH Gayle,West Indies,215,151,10,16,2,6,38,32,1,0,0,0,win,Zimbabwe,142.38,5.05,511,Manuka Oval
656489,MJ Guptill,New Zealand,237,166,24,11,0,0,0,0,2,0,0,0,win,West Indies,142.77,0.0,505,Westpac Stadium
503364,SR Watson,Australia,185,97,15,15,1,7,42,35,2,0,0,0,win,Bangladesh,190.72,5.0,480,Shere Bangla National Stadium
1340847,Ishan Kishan,India,210,133,24,10,0,0,0,0,0,0,0,0,win,Bangladesh,157.89,0.0,456,"Zahur Ahmed Chowdhury Stadium, Chattogram"
536932,V Sehwag,India,219,155,25,7,0,0,0,0,0,0,0,0,win,West Indies,141.29,0.0,451,Holkar Cricket Stadium
647261,RG Sharma,India,209,160,12,16,0,0,0,0,0,0,0,0,win,Australia,130.62,0.0,441,M Chinnaswamy Stadium
1339608,AK Markram,South Africa,175,127,17,7,2,6,37,39,0,0,0,0,win,Netherlands,137.8,6.32,435,"The Wanderers Stadium, Johannesburg"
1348646,Shubman Gill,India,208,155,19,9,0,0,0,0,1,0,0,0,win,New Zealand,134.19,0.0,434,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
1122727,RG Sharma,India,208,158,13,12,0,0,0,0,1,0,0,0,win,Sri Lanka,131.65,0.0,428,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1142923,Fakhar Zaman,Pakistan,210,161,24,5,0,0,0,0,0,0,0,0,win,Zimbabwe,130.43,0.0,424,Queens Sports Club
936135,Q de Kock,South Africa,178,116,16,11,0,0,0,0,1,0,0,1,win,Australia,153.45,0.0,418,SuperSport Park
1251573,Fakhar Zaman,Pakistan,193,157,18,10,0,0,0,0,0,0,0,0,loss,South Africa,122.93,0.0,413,The Wanderers Stadium
1020013,MP Stoinis,Australia,146,121,9,11,3,10,62,43,0,0,0,0,loss,New Zealand,120.66,4.16,409,Eden Park
1385700,TM Head,Australia,154,131,20,5,2,4,29,33,0,0,0,0,win,England,117.56,6.83,409,"Trent Bridge, Nottingham"
441828,SR Tendulkar,India,200,151,25,3,0,0,0,0,0,0,0,0,win,South Africa,132.45,0.0,406,Captain Roop Singh Stadium
1158069,JC Buttler,England,150,77,13,12,0,0,0,0,1,0,0,2,win,West Indies,194.81,0.0,396,"National Cricket Stadium, Grenada"
1384434,MR Marsh,Australia,177,134,17,9,0,4,27,45,0,0,0,0,win,Bangladesh,132.09,10.0,396,"Maharashtra Cricket Association Stadium, Pune"
410340,CK Coventry,Zimbabwe,194,164,16,7,0,0,0,0,1,0,0,0,loss,Bangladesh,118.29,0.0,394,Queens Sports Club
1373574,H Klaasen,South Africa,174,83,13,13,0,0,0,0,0,0,0,0,win,Australia,209.64,0.0,394,"SuperSport Park, Centurion"
1020037,MJ Guptill,New Zealand,180,139,15,11,0,0,0,0,0,0,0,0,win,South Africa,129.5,0.0,394,Seddon Park
238200,HH Gibbs,South Africa,175,111,21,7,0,0,0,0,0,0,0,0,win,Australia,157.66,0.0,391,New Wanderers Stadium
635653,KC Sangakkara,Sri Lanka,169,142,18,6,0,0,0,0,2,0,0,1,win,South Africa,119.01,0.0,391,R Premadasa Stadium
1251952,JN Malan,South Africa,177,171,16,6,0,0,0,0,3,0,0,0,win,Ireland,103.51,0.0,391,"The Village, Malahide, Dublin"
535798,V Kohli,India,183,151,22,2,0,0,0,0,2,0,0,0,win,Pakistan,121.19,0.0,387,Shere Bangla National Stadium
749789,L Ronchi,New Zealand,170,99,14,9,0,0,0,0,2,0,0,0,win,Sri Lanka,171.72,0.0,386,University Oval
1377762,SC Williams,Zimbabwe,174,101,21,5,0,0,0,0,1,0,0,0,win,United States of America,172.28,0.0,386,Harare Sports Club
1336054,BA Stokes,England,182,130,15,9,0,0,0,0,0,0,0,0,win,New Zealand,140.0,0.0,384,"Kennington Oval, London"
1214669,Liton Das,Bangladesh,176,145,16,8,0,0,0,0,1,0,0,0,win,Zimbabwe,121.38,0.0,384,Sylhet International Cricket Stadium
1377776,BFW de Leede,Netherlands,123,93,7,5,5,10,62,50,0,0,0,0,win,Scotland,132.26,4.84,382,"Queens Sports Club, Bulawayo"
1158069,CH Gayle,West Indies,162,101,11,14,0,0,0,0,0,0,0,0,loss,England,160.4,0.0,380,"National Cricket Stadium, Grenada"
