match_id,created,city,dates,event_name,match_number,gender,match_type,match_type_number,toss_winner,toss_decision,outcome_winner,outcome_by_runs,outcome_by_wickets,overs,player_of_match,season,teams,venue,total_fours,total_sixes
1387601,2023-12-19,Gqeberha,2023-12-19,India tour of South Africa,2.0,male,ODI,4714,South Africa,field,South Africa,,8.0,50,T de Zorzi,2023/24,"India, South Africa","St George's Park, Gqeberha",41,10
467883,2010-11-29,Guwahati,2010-11-28,New Zealand in India ODI Series,1.0,male,ODI,3070,New Zealand,field,India,40.0,,50,V Kohli,2010/11,"India, New Zealand",Nehru Stadium,53,6
351689,2013-03-04,Perth,2009-02-01,Chappell-Hadlee Trophy,1.0,male,ODI,2811,Australia,bat,New Zealand,,2.0,50,KD Mills,2008/09,"Australia, New Zealand",Western Australia Cricket Association Ground,25,4
1312806,2022-06-12,Pearland,2022-06-11,ICC Men's Cricket World Cup League 2,87.0,male,ODI,4406,Nepal,bat,,,,50,SR Taylor,2022,"Nepal, United States of America","Moosa Cricket Stadium, Pearland",35,9
1377005,2023-06-06,Sharjah,2023-06-04,West Indies tour of United Arab Emirates,1.0,male,ODI,4581,United Arab Emirates,bat,West Indies,,7.0,50,BA King,2023,"United Arab Emirates, West Indies",Sharjah Cricket Stadium,35,11
647251,2013-10-16,Jaipur,2013-10-16,Australia in India ODI Series,2.0,male,ODI,3420,Australia,bat,India,,9.0,50,RG Sharma,2013/14,"India, Australia",Sawai Mansingh Stadium,75,23
1142586,2020-05-17,,2018-08-05,South Africa tour of Sri Lanka,3.0,male,ODI,4029,Sri Lanka,field,South Africa,78.0,,50,RR Hendricks,2018,"South Africa, Sri Lanka",Pallekele International Cricket Stadium,63,13
1341971,2022-11-22,Windhoek,2022-11-22,ICC Men's Cricket World Cup League 2,111.0,male,ODI,4481,United States of America,field,United States of America,,6.0,50,MD Patel,2022/23,"Papua New Guinea, United States of America","Wanderers Cricket Ground, Windhoek",27,3
1144147,2020-05-12,Bloemfontein,2018-10-03,Zimbabwe tour of South Africa,2.0,male,ODI,4050,South Africa,bat,South Africa,120.0,,50,DW Steyn,2018/19,"South Africa, Zimbabwe",Mangaung Oval,30,5
1331370,2022-09-21,Port Moresby,2022-09-21,ICC Men's Cricket World Cup League 2,108.0,male,ODI,4469,Namibia,bat,Namibia,61.0,,50,MG Erasmus,2022,"Namibia, Papua New Guinea","Amini Park, Port Moresby",23,0
1187023,2019-12-23,Cuttack,2019-12-22,West Indies tour of India,3.0,male,ODI,4223,India,field,India,,4.0,50,V Kohli,2019/20,"India, West Indies",Barabati Stadium,61,15
1144517,2019-06-30,Chester-le-Street,2019-06-28,World Cup,35.0,male,ODI,4176,South Africa,field,South Africa,,9.0,50,D Pretorius,2019,"South Africa, Sri Lanka",Riverside Ground,34,2
543882,2013-02-24,,2012-02-20,ICC World Cricket League Championship,18.0,male,ODI,3245,Ireland,bat,Ireland,117.0,,50,EC Joyce,2011/12,"Kenya, Ireland",Mombasa Sports Club Ground,25,6
1317491,2022-11-22,Melbourne,2022-11-22,England tour of Australia,3.0,male,ODI,4480,England,field,Australia,221.0,,50,TM Head,2022/23,"Australia, England",Melbourne Cricket Ground,44,9
1168244,2020-01-06,Ranchi,2019-03-08,Australia tour of India,3.0,male,ODI,4109,India,field,Australia,32.0,,50,UT Khawaja,2018/19,"India, Australia",JSCA International Stadium Complex,61,11
385751,2013-03-05,Lahore,2009-01-24,Sri Lanka in Pakistan ODI Series,3.0,male,ODI,2803,Sri Lanka,bat,Sri Lanka,234.0,,50,TM Dilshan,2008/09,"Pakistan, Sri Lanka",Gaddafi Stadium,31,2
573022,2013-02-17,Perth,2013-02-01,West Indies in Australia ODI Series,1.0,male,ODI,3330,West Indies,bat,Australia,,9.0,50,MA Starc,2012/13,"Australia, West Indies",Western Australia Cricket Association Ground,17,2
